ident	Longitude	Latitude	comment
75_10728	833500	7852900	start
76_10728	833500	7853100	start
78_10728	833500	7853500	start
82_10728	833700	7852300	start
83_10728	833700	7852500	start
85_10728	833700	7852900	start
7_10733	832100	7863300	start
16_10733	832300	7863100	start
27_10733	832500	7863300	start
28_10733	832500	7863500	start
29_10733	832500	7863700	start
30_10733	832500	7863900	start
39_10733	832700	7863700	start
50_10733	832900	7863900	start
31_11225	838700	7880100	start
41_11225	838900	7880100	start
42_11225	838900	7880300	start
54_11225	839100	7880700	start
56_11225	839100	7881100	start
67_11225	839300	7881300	start
73_11225	839500	7880500	start
86_11225	839700	7881100	start
45_11378	840900	7864900	start
46_11378	840900	7865100	start
55_11378	841100	7864900	start
65_11378	841300	7864900	start
66_11378	841300	7865100	start
75_11378	841500	7864900	start
77_11378	841500	7865300	start
85_11378	841700	7864900	start
86_11378	841700	7865100	start
87_11378	841700	7865300	start
57_11535	843100	7857300	start
59_11535	843100	7857700	start
63_11535	843300	7856500	start
67_11535	843300	7857300	start
77_11535	843500	7857300	start
87_11535	843700	7857300	start
1_11546	842100	7878100	start
11_11546	842300	7878100	start
21_11546	842500	7878100	start
33_11546	842700	7878500	start
36_11546	842700	7879100	start
63_11546	843300	7878500	start
64_11546	843300	7878700	start
75_11546	843500	7878900	start
91_11546	843900	7878100	start
8_11696	844100	7857500	start
18_11696	844300	7857500	start
46_11696	844900	7857100	start
49_11696	844900	7857700	start
60_11696	845100	7857900	start
66_11696	845300	7857100	start
67_11696	845300	7857300	start
27_12012	848500	7845300	start
34_12012	848700	7844700	start
39_12012	848700	7845700	start
48_12012	848900	7845500	start
49_12012	848900	7845700	start
61_12012	849300	7844100	start
63_12012	849300	7844500	start
65_12012	849300	7844900	start
66_12012	849300	7845100	start
72_12012	849500	7844300	start
75_12012	849500	7844900	start
78_12022	849500	7865500	start
84_12022	849700	7864700	start
86_12022	849700	7865100	start
87_12022	849700	7865300	start
88_12022	849700	7865500	start
